role,skill,difficulty,session_type,output_question,source
Backend Developer,Node.js,Medium,technical,What are the trade-offs of using Node.js over alternatives?,template
ML Engineer,scikit-learn,Easy,technical,Explain the basic concept of scikit-learn in simple terms.,template
DevOps Engineer,Jenkins,Easy,system_design,How would you structure a basic project using Jenkins?,template
ML Engineer,MLflow,Medium,technical,Explain how MLflow works under the hood.,template
Frontend Developer,Webpack,Easy,system_design,How would you structure a basic project using Webpack?,template
DevOps Engineer,Terraform,Medium,technical,A Terraform application in production is consuming 90% CPU. How do you investigate and resolve this?,template
Frontend Developer,React,Hard,technical,"A deadlock is occurring in your React database layer during peak traffic. How do you detect, resolve, and prevent this?",template
ML Engineer,BERT,Easy,technical,What is BERT and why is it important for a ML Engineer?,template
Data Analyst,SQL,Easy,technical,What is SQL and why is it important for a Data Analyst?,template
Backend Developer,Kafka,Hard,technical,"A deadlock is occurring in your Kafka database layer during peak traffic. How do you detect, resolve, and prevent this?",template
ML Engineer,PyTorch,Hard,system_design,Architect a fault-tolerant real-time chat app using PyTorch. How do you handle failures without data loss?,template
Full Stack Developer,Next.js,Hard,technical,A critical deadline is approaching and Next.js is causing unexpected high latency spikes. How do you manage the situation?,template
Full Stack Developer,TypeScript,Hard,technical,"A deadlock is occurring in your TypeScript database layer during peak traffic. How do you detect, resolve, and prevent this?",template
Frontend Developer,Vue.js,Medium,technical,A memory leak is suspected in your Vue.js application. How do you confirm and eliminate it?,template
Frontend Developer,React,Hard,system_design,Architect a fault-tolerant notification service using React. How do you handle failures without data loss?,template
Backend Developer,Docker,Easy,technical,A basic Docker function is returning None unexpectedly. How do you debug it?,template
Frontend Developer,JavaScript,Medium,technical,Users are reporting intermittent failures in a JavaScript service. How do you reproduce and fix the issue?,template
Frontend Developer,CSS,Medium,technical,Users are reporting intermittent failures in a CSS service. How do you reproduce and fix the issue?,template
Backend Developer,Docker,Medium,behavioural,Describe a challenging bug you solved using Docker. What was your thought process?,template
Frontend Developer,JavaScript,Hard,system_design,Architect a fault-tolerant real-time chat app using JavaScript. How do you handle failures without data loss?,template
Full Stack Developer,GraphQL,Hard,system_design,Design a highly scalable analytics dashboard using GraphQL that handles 1 million events per second.,template
Frontend Developer,Webpack,Easy,technical,You are starting a new Frontend Developer project. Why would you choose Webpack?,template
Frontend Developer,Next.js,Easy,technical,What are the main features of Next.js?,template
DevOps Engineer,Jenkins,Easy,technical,Explain the basic concept of Jenkins in simple terms.,template
Full Stack Developer,Node.js,Medium,technical,How would you use Node.js to handle authentication at scale in a real-world application?,template
Frontend Developer,TypeScript,Medium,technical,You are building a job scheduling system and need to integrate TypeScript. Walk me through your approach.,template
Data Analyst,Python,Medium,technical,Users are reporting intermittent failures in a Python service. How do you reproduce and fix the issue?,template
DevOps Engineer,Linux,Medium,technical,Your team is migrating an existing system to use Linux. What is your migration plan?,template
Frontend Developer,JavaScript,Medium,system_design,Design a job scheduling system that uses JavaScript for full-text search. What components would you include?,template
DevOps Engineer,Linux,Medium,technical,What are common pitfalls when using Linux and how do you avoid them?,template
Backend Developer,Django,Medium,technical,You are building a real-time chat app and need to integrate Django. Walk me through your approach.,template
ML Engineer,BERT,Easy,technical,Explain the basic concept of BERT in simple terms.,template
Data Analyst,Python,Hard,system_design,Design a highly scalable notification service using Python that handles 1 million events per second.,template
Full Stack Developer,GraphQL,Medium,system_design,Design the database schema for a e-commerce platform that uses GraphQL as its data layer.,template
Backend Developer,Django,Hard,technical,Your e-commerce platform is experiencing memory leak at 10x normal traffic. How do you use Django to diagnose and resolve it?,template
Backend Developer,REST API,Medium,system_design,Design the database schema for a URL shortener that uses REST API as its data layer.,template
ML Engineer,PyTorch,Medium,behavioural,Describe a challenging bug you solved using PyTorch. What was your thought process?,template
ML Engineer,TensorFlow,Medium,technical,Explain how TensorFlow works under the hood.,template
Data Analyst,Pandas,Medium,technical,How does Pandas handle high concurrency in a production environment?,template
Frontend Developer,TypeScript,Easy,technical,What problem does TypeScript solve in software development?,template
Frontend Developer,CSS,Easy,technical,How would you use CSS to build a simple analytics dashboard?,template
Backend Developer,RabbitMQ,Hard,technical,"How does RabbitMQ ensure fault tolerance at scale, and what are its architectural limitations?",template
Frontend Developer,HTML5,Medium,system_design,Design a job scheduling system that uses HTML5 for full-text search. What components would you include?,template
Backend Developer,Python,Medium,technical,What are common pitfalls when using Python and how do you avoid them?,template
Backend Developer,Docker,Hard,behavioural,Describe a situation where you had to make a critical architectural decision involving Docker under tight time pressure.,template
Backend Developer,Django,Easy,behavioural,Describe your experience learning Django for the first time.,template
DevOps Engineer,Terraform,Medium,technical,What are common pitfalls when using Terraform and how do you avoid them?,template
ML Engineer,Model Deployment,Medium,technical,A memory leak is suspected in your Model Deployment application. How do you confirm and eliminate it?,template
Frontend Developer,HTML5,Easy,technical,"If a junior developer asked you to explain HTML5, what real-world analogy would you use?",template
Frontend Developer,CSS,Hard,technical,"How does CSS ensure low read latency at scale, and what are its architectural limitations?",template
Data Analyst,Excel,Easy,technical,A basic Excel function is returning None unexpectedly. How do you debug it?,template
Data Analyst,Pandas,Medium,technical,How would you use Pandas to handle authentication at scale in a real-world application?,template
Frontend Developer,HTML5,Hard,system_design,Architect a fault-tolerant job scheduling system using HTML5. How do you handle failures without data loss?,template
DevOps Engineer,Jenkins,Hard,behavioural,"Tell me about a time Jenkins caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
Frontend Developer,JavaScript,Hard,technical,Your real-time chat app is experiencing memory leak at 10x normal traffic. How do you use JavaScript to diagnose and resolve it?,template
Backend Developer,Kafka,Easy,system_design,Design a simple todo app using Kafka as the core technology.,template
DevOps Engineer,Linux,Medium,system_design,"How would you design a RESTful API using Linux that supports 10,000 concurrent users?",template
ML Engineer,MLflow,Easy,technical,You are starting a new ML Engineer project. Why would you choose MLflow?,template
DevOps Engineer,Docker,Hard,technical,Your notification service is experiencing memory leak at 10x normal traffic. How do you use Docker to diagnose and resolve it?,template
Full Stack Developer,MongoDB,Medium,system_design,Design a notification service that uses MongoDB for session management. What components would you include?,template
Frontend Developer,HTML5,Easy,technical,How would you use HTML5 to build a simple analytics dashboard?,template
Frontend Developer,Next.js,Medium,technical,A memory leak is suspected in your Next.js application. How do you confirm and eliminate it?,template
Data Analyst,Tableau,Easy,technical,What is Tableau and why is it important for a Data Analyst?,template
Frontend Developer,TypeScript,Hard,technical,"Compare TypeScript with its closest alternative in terms of performance, scalability, and developer experience.",template
DevOps Engineer,Jenkins,Hard,technical,"How does Jenkins ensure fault tolerance at scale, and what are its architectural limitations?",template
ML Engineer,scikit-learn,Medium,technical,You are building a URL shortener and need to integrate scikit-learn. Walk me through your approach.,template
Backend Developer,Kafka,Easy,technical,Explain the basic concept of Kafka in simple terms.,template
Full Stack Developer,Node.js,Medium,technical,A Node.js application in production is consuming 90% CPU. How do you investigate and resolve this?,template
Backend Developer,FastAPI,Easy,technical,What is FastAPI and why is it important for a Backend Developer?,template
Frontend Developer,Redux,Medium,system_design,Design a analytics dashboard that uses Redux for audit logging. What components would you include?,template
Frontend Developer,Vue.js,Easy,behavioural,Tell me about a project where you used Vue.js.,template
Backend Developer,Node.js,Easy,technical,A basic Node.js function is returning None unexpectedly. How do you debug it?,template
DevOps Engineer,CI/CD,Medium,technical,You are building a job scheduling system and need to integrate CI/CD. Walk me through your approach.,template
DevOps Engineer,Ansible,Medium,behavioural,Tell me about a time you had to convince your team to adopt Ansible. How did you make the case?,template
Backend Developer,Docker,Easy,system_design,Design a simple todo app using Docker as the core technology.,template
Frontend Developer,CSS,Easy,technical,A basic CSS function is returning None unexpectedly. How do you debug it?,template
DevOps Engineer,Ansible,Easy,technical,Explain the basic concept of Ansible in simple terms.,template
Data Analyst,NumPy,Easy,technical,A basic NumPy function is returning None unexpectedly. How do you debug it?,template
Frontend Developer,CSS,Medium,technical,How would you use CSS to handle rate limiting in a real-world application?,template
DevOps Engineer,CI/CD,Easy,system_design,Design a simple todo app using CI/CD as the core technology.,template
DevOps Engineer,Linux,Hard,behavioural,"Tell me about a time Linux caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
ML Engineer,scikit-learn,Easy,technical,"If a junior developer asked you to explain scikit-learn, what real-world analogy would you use?",template
DevOps Engineer,Kubernetes,Medium,technical,How would you use Kubernetes to handle authentication at scale in a real-world application?,template
ML Engineer,MLflow,Hard,technical,"Compare MLflow with its closest alternative in terms of performance, scalability, and developer experience.",template
Backend Developer,Node.js,Easy,technical,"If a junior developer asked you to explain Node.js, what real-world analogy would you use?",template
ML Engineer,Python,Hard,technical,"How does Python ensure fault tolerance at scale, and what are its architectural limitations?",template
DevOps Engineer,Ansible,Hard,system_design,Design a highly scalable analytics dashboard using Ansible that handles 1 million events per second.,template
Backend Developer,Redis,Hard,behavioural,"Tell me about a time Redis caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
Frontend Developer,Webpack,Hard,system_design,Design a highly scalable real-time chat app using Webpack that handles 1 million events per second.,template
DevOps Engineer,Ansible,Hard,technical,What are the internal memory management strategies used by Ansible?,template
Data Analyst,Excel,Medium,technical,How would you use Excel to handle high concurrency in a real-world application?,template
Backend Developer,Node.js,Easy,system_design,Design a simple todo app using Node.js as the core technology.,template
DevOps Engineer,CI/CD,Hard,technical,You are the lead engineer on a real-time chat app serving 5 million users. How would you architect CI/CD into the stack?,template
DevOps Engineer,Jenkins,Hard,technical,What are the internal memory management strategies used by Jenkins?,template
Frontend Developer,Vue.js,Easy,behavioural,Describe your experience learning Vue.js for the first time.,template
DevOps Engineer,CI/CD,Easy,technical,Your CI/CD application is throwing an unhandled error on startup. What are your first steps?,template
DevOps Engineer,Kubernetes,Hard,system_design,Design a multi-region deployment of Kubernetes for a global application with sub-100ms latency requirements.,template
Frontend Developer,TypeScript,Medium,technical,What are common pitfalls when using TypeScript and how do you avoid them?,template
Frontend Developer,CSS,Easy,system_design,How would you structure a basic project using CSS?,template
Full Stack Developer,TypeScript,Hard,system_design,Design a highly scalable notification service using TypeScript that handles 1 million events per second.,template
Frontend Developer,JavaScript,Easy,technical,You are starting a new Frontend Developer project. Why would you choose JavaScript?,template
DevOps Engineer,CI/CD,Hard,technical,What are the internal memory management strategies used by CI/CD?,template
Backend Developer,MongoDB,Hard,behavioural,"Tell me about a time MongoDB caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
Backend Developer,MongoDB,Hard,system_design,Design a highly scalable e-commerce platform using MongoDB that handles 1 million events per second.,template
DevOps Engineer,Terraform,Medium,technical,Users are reporting intermittent failures in a Terraform service. How do you reproduce and fix the issue?,template
DevOps Engineer,Kubernetes,Easy,technical,Define Kubernetes and its primary use case.,template
Data Analyst,Statistics,Easy,technical,What are the main features of Statistics?,template
Frontend Developer,TypeScript,Medium,technical,A TypeScript application in production is consuming 90% CPU. How do you investigate and resolve this?,template
Frontend Developer,TypeScript,Hard,system_design,Architect a fault-tolerant analytics dashboard using TypeScript. How do you handle failures without data loss?,template
ML Engineer,PyTorch,Hard,technical,You are the lead engineer on a analytics dashboard serving 5 million users. How would you architect PyTorch into the stack?,template
Frontend Developer,TypeScript,Hard,technical,You are the lead engineer on a real-time chat app serving 5 million users. How would you architect TypeScript into the stack?,template
Backend Developer,REST API,Easy,technical,A basic REST API function is returning None unexpectedly. How do you debug it?,template
Data Analyst,Tableau,Medium,technical,How would you use Tableau to handle authentication at scale in a real-world application?,template
ML Engineer,PyTorch,Medium,technical,You are building a job scheduling system and need to integrate PyTorch. Walk me through your approach.,template
Backend Developer,MongoDB,Medium,technical,A MongoDB application in production is consuming 90% CPU. How do you investigate and resolve this?,template
Full Stack Developer,Docker,Medium,system_design,Design a e-commerce platform that uses Docker for audit logging. What components would you include?,template
Data Analyst,Pandas,Easy,system_design,How would you structure a basic project using Pandas?,template
DevOps Engineer,Jenkins,Easy,technical,"If a junior developer asked you to explain Jenkins, what real-world analogy would you use?",template
Backend Developer,PostgreSQL,Medium,system_design,Design a job scheduling system that uses PostgreSQL for caching. What components would you include?,template
ML Engineer,PyTorch,Easy,system_design,How would you structure a basic project using PyTorch?,template
Data Analyst,Pandas,Hard,behavioural,"Tell me about a time Pandas caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
DevOps Engineer,Linux,Easy,technical,Your Linux application is throwing an unhandled error on startup. What are your first steps?,template
Frontend Developer,CSS,Medium,system_design,Design the database schema for a real-time chat app that uses CSS as its data layer.,template
Full Stack Developer,React,Hard,technical,You are the lead engineer on a job scheduling system serving 5 million users. How would you architect React into the stack?,template
Data Analyst,Power BI,Medium,technical,A Power BI application in production is consuming 90% CPU. How do you investigate and resolve this?,template
Data Analyst,Pandas,Hard,technical,"A deadlock is occurring in your Pandas database layer during peak traffic. How do you detect, resolve, and prevent this?",template
Frontend Developer,TypeScript,Easy,technical,You are starting a new Frontend Developer project. Why would you choose TypeScript?,template
Backend Developer,Python,Medium,technical,What are the trade-offs of using Python over alternatives?,template
Data Analyst,Power BI,Easy,system_design,How would you structure a basic project using Power BI?,template
Frontend Developer,Webpack,Hard,behavioural,"Tell me about a time Webpack caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
Frontend Developer,Webpack,Medium,technical,You are building a real-time chat app and need to integrate Webpack. Walk me through your approach.,template
Frontend Developer,Next.js,Hard,system_design,Architect a fault-tolerant job scheduling system using Next.js. How do you handle failures without data loss?,template
ML Engineer,BERT,Hard,technical,"A deadlock is occurring in your BERT database layer during peak traffic. How do you detect, resolve, and prevent this?",template
Backend Developer,Redis,Medium,technical,Your team is migrating an existing system to use Redis. What is your migration plan?,template
Frontend Developer,CSS,Hard,behavioural,"Tell me about a time CSS caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
DevOps Engineer,Terraform,Easy,technical,You are starting a new DevOps Engineer project. Why would you choose Terraform?,template
Frontend Developer,Vue.js,Medium,technical,What are the trade-offs of using Vue.js over alternatives?,template
ML Engineer,Model Deployment,Easy,behavioural,Describe your experience learning Model Deployment for the first time.,template
Frontend Developer,React,Easy,behavioural,Describe your experience learning React for the first time.,template
Backend Developer,MongoDB,Hard,behavioural,Describe a situation where you had to make a critical architectural decision involving MongoDB under tight time pressure.,template
Frontend Developer,Vue.js,Medium,system_design,Design a job scheduling system that uses Vue.js for session management. What components would you include?,template
Backend Developer,RabbitMQ,Hard,technical,Your notification service is experiencing cascading timeouts at 10x normal traffic. How do you use RabbitMQ to diagnose and resolve it?,template
Backend Developer,Redis,Hard,behavioural,Describe a situation where you had to make a critical architectural decision involving Redis under tight time pressure.,template
DevOps Engineer,Kubernetes,Easy,system_design,How would you structure a basic project using Kubernetes?,template
DevOps Engineer,Jenkins,Easy,behavioural,Tell me about a project where you used Jenkins.,template
Backend Developer,Kafka,Medium,technical,A Kafka application in production is consuming 90% CPU. How do you investigate and resolve this?,template
Backend Developer,REST API,Medium,technical,What are common pitfalls when using REST API and how do you avoid them?,template
ML Engineer,BERT,Medium,technical,Explain how BERT works under the hood.,template
Frontend Developer,Next.js,Hard,system_design,Design a highly scalable job scheduling system using Next.js that handles 1 million events per second.,template
Backend Developer,FastAPI,Hard,technical,"How does FastAPI ensure fault tolerance at scale, and what are its architectural limitations?",template
ML Engineer,BERT,Medium,system_design,Design the database schema for a real-time chat app that uses BERT as its data layer.,template
Backend Developer,Django,Hard,behavioural,Describe a situation where you had to make a critical architectural decision involving Django under tight time pressure.,template
Frontend Developer,Redux,Hard,technical,"A deadlock is occurring in your Redux database layer during peak traffic. How do you detect, resolve, and prevent this?",template
ML Engineer,Model Deployment,Medium,technical,What are common pitfalls when using Model Deployment and how do you avoid them?,template
Full Stack Developer,TypeScript,Easy,technical,You are starting a new Full Stack Developer project. Why would you choose TypeScript?,template
ML Engineer,TensorFlow,Medium,technical,Users are reporting intermittent failures in a TensorFlow service. How do you reproduce and fix the issue?,template
ML Engineer,TensorFlow,Easy,technical,Your TensorFlow application is throwing an unhandled error on startup. What are your first steps?,template
Data Analyst,NumPy,Hard,technical,A race condition is occurring in your NumPy setup under load. Describe your complete debugging and resolution strategy.,template
ML Engineer,TensorFlow,Medium,behavioural,Describe a challenging bug you solved using TensorFlow. What was your thought process?,template
ML Engineer,MLflow,Hard,technical,A critical deadline is approaching and MLflow is causing unexpected cascading timeouts. How do you manage the situation?,template
Frontend Developer,React,Easy,technical,A basic React function is returning None unexpectedly. How do you debug it?,template
ML Engineer,Feature Engineering,Medium,technical,What are the trade-offs of using Feature Engineering over alternatives?,template
Full Stack Developer,GraphQL,Medium,system_design,"How would you design a RESTful API using GraphQL that supports 10,000 concurrent users?",template
DevOps Engineer,AWS,Easy,technical,You are starting a new DevOps Engineer project. Why would you choose AWS?,template
Backend Developer,Docker,Hard,technical,"A deadlock is occurring in your Docker database layer during peak traffic. How do you detect, resolve, and prevent this?",template
Backend Developer,Node.js,Hard,behavioural,"Tell me about a time Node.js caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
DevOps Engineer,Kubernetes,Easy,technical,"If a junior developer asked you to explain Kubernetes, what real-world analogy would you use?",template
ML Engineer,MLflow,Medium,technical,What are the trade-offs of using MLflow over alternatives?,template
ML Engineer,Model Deployment,Hard,technical,A race condition is occurring in your Model Deployment setup under load. Describe your complete debugging and resolution strategy.,template
Frontend Developer,Vue.js,Medium,behavioural,Describe a challenging bug you solved using Vue.js. What was your thought process?,template
DevOps Engineer,AWS,Medium,technical,A AWS application in production is consuming 90% CPU. How do you investigate and resolve this?,template
Backend Developer,Redis,Medium,technical,How would you use Redis to handle rate limiting in a real-world application?,template
DevOps Engineer,CI/CD,Hard,behavioural,Describe a situation where you had to make a critical architectural decision involving CI/CD under tight time pressure.,template
DevOps Engineer,Terraform,Easy,technical,"If a junior developer asked you to explain Terraform, what real-world analogy would you use?",template
Frontend Developer,Next.js,Hard,technical,You are the lead engineer on a e-commerce platform serving 5 million users. How would you architect Next.js into the stack?,template
Backend Developer,Django,Medium,system_design,Design a job scheduling system that uses Django for audit logging. What components would you include?,template
DevOps Engineer,Terraform,Medium,technical,Your team is migrating an existing system to use Terraform. What is your migration plan?,template
Data Analyst,Power BI,Easy,technical,Explain the basic concept of Power BI in simple terms.,template
DevOps Engineer,Kubernetes,Hard,behavioural,"Tell me about a time Kubernetes caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
ML Engineer,Feature Engineering,Hard,technical,You are the lead engineer on a e-commerce platform serving 5 million users. How would you architect Feature Engineering into the stack?,template
Backend Developer,MongoDB,Hard,technical,What are the internal memory management strategies used by MongoDB?,template
Backend Developer,Django,Hard,technical,"How does Django ensure low read latency at scale, and what are its architectural limitations?",template
DevOps Engineer,Kubernetes,Easy,technical,Explain the basic concept of Kubernetes in simple terms.,template
Frontend Developer,Webpack,Medium,technical,Users are reporting intermittent failures in a Webpack service. How do you reproduce and fix the issue?,template
DevOps Engineer,Terraform,Easy,technical,What problem does Terraform solve in software development?,template
Frontend Developer,Webpack,Medium,behavioural,Describe a challenging bug you solved using Webpack. What was your thought process?,template
ML Engineer,TensorFlow,Hard,behavioural,Describe a situation where you had to make a critical architectural decision involving TensorFlow under tight time pressure.,template
Frontend Developer,Webpack,Easy,technical,"If a junior developer asked you to explain Webpack, what real-world analogy would you use?",template
Frontend Developer,TypeScript,Medium,behavioural,Describe a challenging bug you solved using TypeScript. What was your thought process?,template
Frontend Developer,Next.js,Hard,behavioural,"Tell me about a time Next.js caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
ML Engineer,TensorFlow,Medium,technical,You are building a real-time chat app and need to integrate TensorFlow. Walk me through your approach.,template
Full Stack Developer,GraphQL,Medium,behavioural,Describe a challenging bug you solved using GraphQL. What was your thought process?,template
DevOps Engineer,Terraform,Hard,behavioural,"Tell me about a time Terraform caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
Data Analyst,Excel,Easy,technical,Your Excel application is throwing an unhandled error on startup. What are your first steps?,template
Data Analyst,Excel,Hard,behavioural,Describe a situation where you had to make a critical architectural decision involving Excel under tight time pressure.,template
Frontend Developer,Next.js,Medium,technical,Your team is migrating an existing system to use Next.js. What is your migration plan?,template
DevOps Engineer,Linux,Easy,technical,A basic Linux function is returning None unexpectedly. How do you debug it?,template
Backend Developer,PostgreSQL,Medium,behavioural,Tell me about a time you had to convince your team to adopt PostgreSQL. How did you make the case?,template
DevOps Engineer,AWS,Hard,technical,What are the internal memory management strategies used by AWS?,template
Backend Developer,FastAPI,Hard,technical,A race condition is occurring in your FastAPI setup under load. Describe your complete debugging and resolution strategy.,template
DevOps Engineer,AWS,Hard,technical,You are the lead engineer on a URL shortener serving 5 million users. How would you architect AWS into the stack?,template
Backend Developer,FastAPI,Hard,system_design,Architect a fault-tolerant job scheduling system using FastAPI. How do you handle failures without data loss?,template
Data Analyst,Power BI,Hard,technical,A critical deadline is approaching and Power BI is causing unexpected cascading timeouts. How do you manage the situation?,template
Backend Developer,Docker,Medium,technical,Users are reporting intermittent failures in a Docker service. How do you reproduce and fix the issue?,template
Backend Developer,Redis,Hard,technical,A race condition is occurring in your Redis setup under load. Describe your complete debugging and resolution strategy.,template
Frontend Developer,React,Easy,technical,Explain the basic concept of React in simple terms.,template
Backend Developer,Redis,Easy,technical,Define Redis and its primary use case.,template
ML Engineer,Feature Engineering,Medium,system_design,Design a URL shortener that uses Feature Engineering for audit logging. What components would you include?,template
Backend Developer,REST API,Hard,system_design,Architect a fault-tolerant analytics dashboard using REST API. How do you handle failures without data loss?,template
ML Engineer,TensorFlow,Medium,technical,How would you use TensorFlow to handle real-time data consistency in a real-world application?,template
DevOps Engineer,Linux,Easy,technical,Explain the basic concept of Linux in simple terms.,template
DevOps Engineer,CI/CD,Hard,system_design,Design a multi-region deployment of CI/CD for a global application with sub-100ms latency requirements.,template
DevOps Engineer,CI/CD,Easy,technical,Define CI/CD and its primary use case.,template
Data Analyst,Statistics,Hard,technical,A race condition is occurring in your Statistics setup under load. Describe your complete debugging and resolution strategy.,template
Data Analyst,Power BI,Medium,technical,How would you use Power BI to handle caching invalidation in a real-world application?,template
Frontend Developer,Redux,Hard,technical,You are the lead engineer on a analytics dashboard serving 5 million users. How would you architect Redux into the stack?,template
Backend Developer,REST API,Easy,technical,Define REST API and its primary use case.,template
Frontend Developer,Next.js,Easy,system_design,How would you structure a basic project using Next.js?,template
Data Analyst,Tableau,Easy,behavioural,Tell me about a project where you used Tableau.,template
Backend Developer,Django,Hard,technical,What are the internal memory management strategies used by Django?,template
Data Analyst,Python,Medium,technical,Your team is migrating an existing system to use Python. What is your migration plan?,template
Frontend Developer,CSS,Easy,technical,What is CSS and why is it important for a Frontend Developer?,template
ML Engineer,Model Deployment,Medium,system_design,Design the database schema for a URL shortener that uses Model Deployment as its data layer.,template
Frontend Developer,HTML5,Easy,technical,What is HTML5 and why is it important for a Frontend Developer?,template
Data Analyst,Power BI,Easy,technical,Define Power BI and its primary use case.,template
Backend Developer,PostgreSQL,Hard,system_design,Design a highly scalable job scheduling system using PostgreSQL that handles 1 million events per second.,template
Frontend Developer,Vue.js,Medium,technical,Explain how Vue.js works under the hood.,template
Frontend Developer,TypeScript,Easy,behavioural,Tell me about a project where you used TypeScript.,template
Frontend Developer,Next.js,Medium,technical,How does Next.js handle caching invalidation in a production environment?,template
Backend Developer,Node.js,Easy,technical,Define Node.js and its primary use case.,template
ML Engineer,MLflow,Easy,technical,What are the main features of MLflow?,template
Backend Developer,Node.js,Hard,technical,"A deadlock is occurring in your Node.js database layer during peak traffic. How do you detect, resolve, and prevent this?",template
ML Engineer,MLflow,Easy,system_design,How would you structure a basic project using MLflow?,template
ML Engineer,BERT,Medium,system_design,"How would you design a RESTful API using BERT that supports 10,000 concurrent users?",template
Backend Developer,FastAPI,Medium,behavioural,Tell me about a time you had to convince your team to adopt FastAPI. How did you make the case?,template
Data Analyst,Power BI,Easy,behavioural,Describe your experience learning Power BI for the first time.,template
Backend Developer,Redis,Easy,system_design,How would you structure a basic project using Redis?,template
Backend Developer,FastAPI,Medium,system_design,Design the database schema for a e-commerce platform that uses FastAPI as its data layer.,template
ML Engineer,BERT,Hard,system_design,Design a multi-region deployment of BERT for a global application with sub-100ms latency requirements.,template
Backend Developer,Docker,Easy,behavioural,Describe your experience learning Docker for the first time.,template
Backend Developer,MongoDB,Easy,technical,What are the main features of MongoDB?,template
Frontend Developer,Redux,Medium,system_design,Design the database schema for a e-commerce platform that uses Redux as its data layer.,template
Frontend Developer,React,Hard,behavioural,Describe a situation where you had to make a critical architectural decision involving React under tight time pressure.,template
Backend Developer,Django,Easy,technical,A basic Django function is returning None unexpectedly. How do you debug it?,template
Frontend Developer,HTML5,Medium,technical,Your team is migrating an existing system to use HTML5. What is your migration plan?,template
Data Analyst,Tableau,Easy,technical,What problem does Tableau solve in software development?,template
DevOps Engineer,Terraform,Easy,system_design,Design a simple todo app using Terraform as the core technology.,template
Frontend Developer,Redux,Medium,behavioural,Tell me about a time you had to convince your team to adopt Redux. How did you make the case?,template
DevOps Engineer,CI/CD,Easy,behavioural,Tell me about a project where you used CI/CD.,template
Full Stack Developer,GraphQL,Easy,technical,Define GraphQL and its primary use case.,template
Frontend Developer,Redux,Hard,technical,A critical deadline is approaching and Redux is causing unexpected cascading timeouts. How do you manage the situation?,template
Backend Developer,Django,Easy,behavioural,Tell me about a project where you used Django.,template
